时间,cpu百分比/s,已用内存/MB,磁盘读取MB/s,磁盘写入MB/s,网络上传MB/s,网络下载MB/s
12:38:04,0.5,17631,0.0,0.3,0.0,0.11
12:38:14,9.2,17668,0.01,1.62,0.0,0.0
